A=10 | B=4 | Sel=2 | Result=40
A=10 | B=5 | Sel=2 | Result=50
A=10 | B=6 | Sel=2 | Result=60
A=10 | B=7 | Sel=2 | Result=70
A=10 | B=8 | Sel=2 | Result=80
A=10 | B=9 | Sel=2 | Result=90
A=10 | B=10 | Sel=2 | Result=100
A=10 | B=11 | Sel=2 | Result=110
A=10 | B=12 | Sel=2 | Result=120
A=10 | B=13 | Sel=2 | Result=-126
A=10 | B=14 | Sel=2 | Result=-116
A=10 | B=15 | Sel=2 | Result=-106
A=11 | B=0 | Sel=2 | Result=0
A=11 | B=1 | Sel=2 | Result=11
A=11 | B=2 | Sel=2 | Result=22
A=11 | B=3 | Sel=2 | Result=33
A=11 | B=4 | Sel=2 | Result=44
A=11 | B=5 | Sel=2 | Result=55
A=11 | B=6 | Sel=2 | Result=66
A=11 | B=7 | Sel=2 | Result=77
A=11 | B=8 | Sel=2 | Result=88
A=11 | B=9 | Sel=2 | Result=99
A=11 | B=10 | Sel=2 | Result=110
A=11 | B=11 | Sel=2 | Result=121
A=11 | B=12 | Sel=2 | Result=-124
A=11 | B=13 | Sel=2 | Result=-113
A=11 | B=14 | Sel=2 | Result=-102
A=11 | B=15 | Sel=2 | Result=-91
A=12 | B=0 | Sel=2 | Result=0
A=12 | B=1 | Sel=2 | Result=12
A=12 | B=2 | Sel=2 | Result=24
A=12 | B=3 | Sel=2 | Result=36
A=12 | B=4 | Sel=2 | Result=48
A=12 | B=5 | Sel=2 | Result=60
A=12 | B=6 | Sel=2 | Result=72
A=12 | B=7 | Sel=2 | Result=84
A=12 | B=8 | Sel=2 | Result=96
A=12 | B=9 | Sel=2 | Result=108
A=12 | B=10 | Sel=2 | Result=120
A=12 | B=11 | Sel=2 | Result=-124
A=12 | B=12 | Sel=2 | Result=-112
A=12 | B=13 | Sel=2 | Result=-100
A=12 | B=14 | Sel=2 | Result=-88
A=12 | B=15 | Sel=2 | Result=-76
A=13 | B=0 | Sel=2 | Result=0
A=13 | B=1 | Sel=2 | Result=13
A=13 | B=2 | Sel=2 | Result=26
A=13 | B=3 | Sel=2 | Result=39
A=13 | B=4 | Sel=2 | Result=52
A=13 | B=5 | Sel=2 | Result=65
A=13 | B=6 | Sel=2 | Result=78
A=13 | B=7 | Sel=2 | Result=91
A=13 | B=8 | Sel=2 | Result=104
A=13 | B=9 | Sel=2 | Result=117
A=13 | B=10 | Sel=2 | Result=-126
A=13 | B=11 | Sel=2 | Result=-113
A=13 | B=12 | Sel=2 | Result=-100
A=13 | B=13 | Sel=2 | Result=-87
A=13 | B=14 | Sel=2 | Result=-74
A=13 | B=15 | Sel=2 | Result=-61
A=14 | B=0 | Sel=2 | Result=0
A=14 | B=1 | Sel=2 | Result=14
A=14 | B=2 | Sel=2 | Result=28
A=14 | B=3 | Sel=2 | Result=42
A=14 | B=4 | Sel=2 | Result=56
A=14 | B=5 | Sel=2 | Result=70
A=14 | B=6 | Sel=2 | Result=84
